Store Number,Convenience,Shopping,Specialty,Unsought,Other,Percentage Investment
1101,301121,42712,169038,89371,296474,18.8
1101,9473,326,5276,3871,8943,18.8
1103,99476,9576,45791,44109,109323,15.8
1103,78919,6537,41600,30782,81220,15.8
1103,30401,1588,17791,11022,29601,15.8
1105,16271,3616,10175,2480,15450,35
1107,26826,3541,17386,5899,27921,25.8
1109,23840,3437,13858,6545,23530,25.1
1109,20582,2097,10239,8246,19199,25.1
1111,21531,2475,13280,5776,23702,21.8
1111,13567,1714,8577,3276,13381,21.8
1113,66280,7735,40838,17707,68862,19.3
1113,33852,4285,21466,8101,32367,19.3
1115,80428,8311,51603,20514,80152,12
1115,37455,3535,23100,10820,36396,12
1117,207108,11491,107556,88061,204630,7.9
1117,38081,2032,16617,19432,64321,7.9
1117,70449,4244,34451,31754,91470,7.9
1119,19254,3747,11192,4315,19797,32.4
1121,22318,2431,13419,6468,30634,18
1121,21934,2863,13355,5716,22472,18
1121,77788,8297,43662,25829,76784,18
1123,29725,3597,14928,11200,26794,20.2
1123,32454,3717,17018,11719,29642,20.2
1125,126506,16560,51035,58911,125943,17.6
1125,180014,15123,102089,62802,172552,17.6
1127,27747,2406,14860,10481,29622,20.5
1127,77323,10228,44847,22248,76823,20.5
1129,28275,3865,16255,8155,28507,18.2
1131,19633,3718,11702,4213,19943,31.9
1133,26086,2743,15593,7750,25019,17.3
1133,16709,1828,9904,4977,16158,17.3
2220,12154,3725,8420,9,12112,7.9
2220,28895,2553,18239,8103,26960,7.9
2240,11433,2284,9048,101,12381,11.8
2240,13494,1460,11811,223,13117,11.8
2198,7820,822,6665,333,9334,17.5
2198,10463,6840,3444,179,8529,17.5
2198,7797,1857,5144,796,8334,17.5
2198,2757,460,1927,370,2971,17.5
2198,4145,1148,2689,308,3849,17.5
2198,3776,1342,2241,193,3679,17.5
2180,48238,10451,34684,3103,66782,24
2180,16027,1332,11504,3191,16978,24
2105,5067,814,4140,113,5074,19.1
2105,4166,919,2588,659,4375,19.1
2105,583,27,530,26,547,19.1
2261,8679,1013,7458,208,8392,9.2
2261,8679,1013,7458,208,8392,30.2
2261,8039,519,5522,1998,6649,9.2
2261,8039,519,5522,1998,6649,30.2
2261,19370,583,7807,10980,18570,9.2
2261,19370,583,7807,10980,18570,30.2
2158,61350,24947,35250,1153,61506,37.8
2158,7874,3044,4342,488,10008,37.8
2158,10661,1222,9149,290,11557,37.8
2290,7451,878,6365,208,7753,23
2290,9650,1889,7636,125,10549,23
2290,32928,1895,29706,1327,32884,23
2290,11030,1284,9574,172,11138,23
2290,1583,149,1302,132,1775,23
2100,6698,437,4377,1884,6644,10.3
2122,161721,9426,102241,50054,163029,12
2130,42426,2348,30715,9363,40414,9.2
2188,74025,16249,47196,10580,75554,27.8
2150,53750,5515,37013,11222,57229,7.3
2170,303215,18467,222607,62141,358757,9.5
2185,74050,10285,22844,40921,77190,11.9
2185,74050,10285,22844,40921,77190,22.1
2195,10479,587,7899,1993,10277,8.4
2195,10479,587,7899,1993,10277,37.1
2013,9290,2396,5749,1145,9399,13.3
2282,2347,307,1399,641,2381,16.8
2230,3088,41,1154,1893,2911,4.4
2110,93302,4622,60304,28376,84571,7.4
2275,6399,1426,4253,720,5860,11.5
2275,6399,1426,4253,720,5860,15.4
4013,3584,485,2677,422,4022,16.9
4013,2151,398,958,795,2095,16.9
4013,111012,23998,59501,27513,105669,16.9
4013,3386,550,137,2699,2753,16.9
4013,51018,6368,22157,22493,45211,16.9
4013,27211,5874,8169,13168,22745,16.9
4013,37120,4218,21553,11349,36075,16.9
4013,39767,3149,11431,25187,50584,16.9
4013,148509,32938,83648,31923,129934,16.9
4013,46654,2130,9485,35039,55252,16.9
4013,350971,20423,150120,180428,331019,16.9
4013,62170,14180,24190,23800,54964,16.9
4013,198615,18104,98553,81958,169660,16.9
4013,39932,8273,18584,13075,35233,16.9
4013,5612,1015,425,4172,5006,16.9
4013,284987,15603,140366,129018,248612,16.9
4013,101892,21249,58736,21907,98444,16.9
4013,145573,16598,62559,66416,137966,16.9
4013,92291,4539,44995,42757,84378,16.9
4013,61796,14056,31902,15838,58144,16.9
4013,149151,7515,56431,85205,144729,16.9
4013,51951,6111,28575,17265,59332,16.9
4013,25017,2345,12976,9696,23310,16.9
4013,80784,5813,43474,31497,75141,16.9
4013,43772,6060,22342,15370,50376,16.9
4013,64368,4045,14323,46000,66981,16.9
4013,542277,64742,256023,221512,537276,16.9
4013,1042,33,12,997,851,16.9
4013,2602,284,1135,1183,1792,16.9
4013,18511,4803,7494,6214,16734,16.9
4013,10641,1657,5770,3214,10481,16.9
4013,29894,6440,7833,15621,25733,16.9
4013,4304,652,2317,1335,3827,16.9
4013,76894,10020,42383,24491,71080,16.9
4013,304660,23069,138370,143221,288368,16.9
4013,87816,18897,21525,47394,74249,16.9
4013,322967,33693,76601,212673,315669,16.9
4013,47124,3851,21122,22151,57168,16.9
4013,14562,1677,562,12323,24278,16.9
4013,106435,26265,37807,42363,99793,16.9
4013,227712,16017,34958,176737,202733,16.9
4013,1110,79,188,843,1033,16.9
4013,310611,23253,81190,206168,280554,16.9
4013,122259,13669,32659,75931,120161,16.9
4013,131961,5904,29282,96775,116803,16.9
4013,4408,207,101,4100,5310,16.9
4013,25690,4926,11726,9038,22806,16.9
4013,96398,8885,42972,44541,75441,16.9
4013,14775,2679,8747,3349,13563,16.9
4013,211841,39366,97891,74584,189277,16.9
4013,14607,1329,2407,10871,12712,16.9
4013,14837,3673,3849,7315,14006,16.9
4013,33524,53,18367,15104,35691,16.9
4013,45221,1437,30061,13723,39976,16.9
4013,273905,22021,105504,146380,253630,16.9
4013,63871,3870,25451,34550,61199,16.9
4013,15398,1873,826,12699,14551,16.9
4013,15990,1980,3044,10966,14547,16.9
4017,145,7,130,8,320,8.4
4017,24224,8326,11466,4432,22612,8.4
4017,5602,446,248,4908,4768,8.4
4017,29465,16263,10346,2856,25371,8.4
4017,3188,1840,1164,184,3598,8.4
4017,18947,2586,3769,12592,16988,8.4
4017,18389,2082,7352,8955,16522,8.4
4017,17235,2060,9844,5331,15812,8.4
4017,30264,16391,12163,1710,26012,8.4
4017,19589,5991,9878,3720,17176,8.4
4017,4895,51,3756,1088,2138,8.4
4017,3779,57,3416,306,2493,8.4
4017,21517,10742,8594,2181,19521,8.4
4017,5400,773,1084,3543,4561,8.4
4019,852,335,461,56,946,16.4
4019,3994,960,1989,1045,3797,16.4
4019,125705,14309,32058,79338,120016,16.4
4019,42431,1459,10184,30788,45902,16.4
4019,7245,488,1479,5278,7038,16.4
4019,40,0,9,31,408,16.4
4019,44728,7487,20088,17153,41904,16.4
4019,19187,11768,6405,1014,16424,16.4
4019,104357,9433,44616,50308,120173,16.4
4019,77,0,18,59,133,16.4
4019,48999,3085,19041,26873,43732,16.4
4019,286,24,168,94,351,16.4
4019,121517,27628,67444,26445,125010,16.4
4019,15947,556,6342,9049,15815,16.4
4019,9263,1549,4975,2739,8370,16.4
4019,449642,67416,170965,211261,411163,16.4
4019,99510,5805,51959,41746,102974,16.4
4019,19912,337,13773,5802,17498,16.4
4021,5075,312,1768,2995,4726,23.2
4021,1265,21,1075,169,1266,23.2
4021,34090,2761,12584,18745,29619,23.2
4021,53699,7983,28753,16963,50379,23.2
4021,36757,5117,14446,17194,29714,23.2
4021,29244,5125,12259,11860,28313,23.2
4021,8491,2477,4595,1419,8016,23.2
4021,66513,7015,37102,22396,59847,23.2
4021,7373,1295,4354,1724,7313,23.2
4021,49548,5585,29651,14312,44002,23.2
4021,6405,563,1665,4177,6152,23.2
4021,1663,236,266,1161,1578,23.2
4021,4247,673,1775,1799,4414,23.2
4021,2440,178,1226,1036,2333,23.2
4021,11223,6791,3643,789,9889,23.2
4021,6107,573,1099,4435,4378,23.2
4021,4492,691,2710,1091,8161,23.2
4021,4836,809,1814,2213,4202,23.2
4021,9450,2061,4580,2809,8557,23.2
4021,6598,69,5454,1075,4715,23.2
4021,31975,3547,19240,9188,29582,23.2
4025,1165,60,687,418,985,17.7
4025,3017,288,583,2146,2659,17.7
4025,5311,278,299,4734,5067,17.7
4025,11645,1972,4885,4788,11483,17.7
4025,1920,298,579,1043,1956,17.7
4025,17544,2712,6366,8466,17362,17.7
4025,1710,183,459,1068,1536,17.7
4025,17329,2235,6573,8521,17785,17.7
4025,109,37,9,63,93,17.7
4025,45724,5416,18075,22233,47019,17.7
4025,1813,166,452,1195,1765,17.7
4025,6395,1065,2685,2645,5606,17.7
4025,29914,4098,7404,18412,30735,17.7
4025,2839,146,139,2554,2640,17.7
4025,573,58,165,350,546,17.7
4025,392,53,91,248,375,17.7
4025,4033,480,1545,2008,3618,17.7
4025,29,10,1,18,44,17.7
4025,263,13,51,199,252,17.7
4025,1246,308,227,711,956,17.7
4025,1327,64,604,659,1768,17.7
4025,2937,200,1522,1215,2291,17.7
4025,10888,829,2438,7621,9177,17.7
4025,4014,609,1572,1833,3578,17.7
4011,181,53,7,121,125,17.7
4011,4480,439,273,3768,3591,17.7
4011,12493,361,759,11373,11997,17.7
4011,5,5,0,0,7,17.7
4015,21825,4635,9358,7832,21429,21.3
4015,1109,122,78,909,907,21.3
4015,60437,7608,18308,34521,49205,21.3
4015,4006,645,1970,1391,3809,21.3
4015,12065,1949,3953,6163,9961,21.3
4015,402,27,24,351,441,21.3
4015,3533,1702,765,1066,2654,21.3
4015,5631,1669,2658,1304,5010,21.3
4015,1153,245,182,726,1109,21.3
4015,512,30,267,215,708,21.3
4015,614,55,28,531,491,21.3
4015,3570,0,2146,1424,2834,21.3
4015,16914,2029,3241,11644,14981,21.3
4015,40891,4868,9825,26198,36711,21.3
4023,24920,5201,12988,6731,26007,26.8
4023,43889,7569,26394,9926,39638,26.8
4023,1288,225,377,686,1343,26.8
4023,1797,192,245,1360,1734,26.8
4023,2731,327,1812,592,2690,26.8
4023,2104,317,339,1448,2345,26.8
4027,3193,179,240,2774,2962,12.4
4027,44071,7388,28433,8250,45236,12.4
4027,38619,9559,26234,2826,38053,12.4
4027,2163,681,56,1426,1938,12.4
4027,1818,253,727,838,1578,12.4
4027,21197,5309,13368,2520,20597,12.4
4027,2319,400,1163,756,2293,12.4
4027,66883,12667,34964,19252,67566,12.4
4027,86346,12788,39139,34419,78069,12.4
5011,5659,975,4016,668,5993,10.5
5011,19626,2475,15481,1670,17835,10.5
5013,6174,690,4509,975,6176,8.8
5015,20285,2329,16018,1938,19929,12.1
5015,9693,843,6825,2025,8424,12.1
5015,13338,1961,10187,1190,13218,12.1
5017,5665,1175,4037,453,5074,10.6
5017,12900,2264,9363,1273,12010,10.6
5019,20784,2067,15684,3033,20328,15.5
5019,8056,918,6242,896,8041,15.5
5019,11834,3820,5141,2873,11730,15.5
5021,9647,1191,7281,1175,9614,13.3
5021,8746,895,6882,969,7999,13.3
5021,6236,851,4630,755,5789,13.3
5023,5918,704,4132,1082,6026,10.8
5023,18379,1955,13449,2975,18241,10.8
5023,7599,657,4990,1952,6933,10.8
5023,7457,1008,4685,1764,5562,10.8
5025,9582,1761,6893,928,9752,12.7
5025,5166,487,4122,557,5110,12.7
5027,11363,1226,8233,1904,11950,10
5027,29038,3746,21727,3565,28873,10
5101,5036,853,3777,406,4990,19.9
5101,11341,1497,8820,1024,11251,19.9
5129,8917,1097,6920,900,8433,23.1
5129,8917,1097,6920,900,8433,17.6
5129,11428,1503,8657,1268,11849,23.1
5129,11428,1503,8657,1268,11849,17.6
5103,5646,754,4303,589,5968,24.7
5103,27852,3780,21673,2399,26504,24.7
5103,9881,1003,7924,954,9445,24.7
5103,3920,549,2599,772,3656,24.7
5105,6645,713,5271,661,6095,16.9
5105,9003,982,7279,742,9111,16.9
5107,8295,930,6728,637,9137,32.3
5107,19015,3383,14026,1606,18648,32.3
5107,5970,1426,3878,666,5989,32.3
5107,5496,2032,2290,1174,7279,32.3
5109,12975,1188,10343,1444,16488,18.2
5109,4035,478,2904,653,3682,18.2
5109,7599,798,5785,1016,7699,18.2
5111,13673,1784,10207,1682,13876,22.7
